system:index,area,class_id,state,tenure,year,.geo
0_11_9,25.045736492919907,30,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_10,1273.029847851562,33,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_11,2781.5892766601532,39,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_12,7457.079278649908,41,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,63744.832661724824,3,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,194465.10087802203,4,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2,24385.431083673124,11,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_3,9713.108950775144,12,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_4,24612.964877172883,15,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_5,42149.75550158679,21,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_6,123.71117424926761,24,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_7,2281.0748447937012,25,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_8,224.13018467407247,29,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_9,42.845706945800835,30,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_10,3339.688167510986,33,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_11,2899.3870308532687,39,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_12,5661.682650616468,41,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,107772.59071854911,3,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,257313.55382966105,4,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_2,106379.59679827998,11,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_3,13962.908290130616,12,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_4,31213.1688382323,15,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_5,47418.47831109642,21,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_6,142.6745883972167,24,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_7,2558.359546929934,25,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_8,184.78443539428713,29,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_9,0.1721704345703125,30,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_10,8729.923035034186,33,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_11,5175.597892102032,39,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_12,5034.723213848857,41,51,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,48854.56098850692,3,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,76861.83219251796,4,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_2,1529.9424117370656,11,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_3,2112.924871203616,12,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_4,3379.9528516784726,15,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_5,5026.558704248043,21,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_6,19.53464487915039,24,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_7,255.11172057495116,25,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_8,17.13489559326173,30,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_9,947.697391296386,33,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_10,35.1889113891602,39,51,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
